board	numPegs	exIDDFS	ex1	ex2	ex3	ex4	exBase	tIDDFS	t1	t2	t3	t4	tBase
gcentral	32	MemErr	1801655	170	4713300	530402	26807	MemErr	114.703	0	655.656	20.859	1.047
gcross	6	50	19	13	16	19	13	0	0	0	0	0	0
gdiamond	24	24462050	79401	4108	78277	100478	37306	770.563	6.187	0.219	15.125	4.281	1.5
gheart	11	4859	93	71	151	365	194	0.157	0	0	0	0	0
gimpossible	3	2	1	1	1	1	1	0	0	0	0	0	0
gplus	9	138	28	27	34	35	20	0	0	0	0	0	0
gpyramid	16	537103	16621	184	793	13009	68	16.657	1.218	0	0.172	0.5	0
gsubmarine	6	79	15	21	15	17	15	0	0	0	0	0	0
gtee	5	23	9	9	10	10	9	0	0	0	0	0	0
gtrivial	2	2	2	2	2	2	2	0	0	0	0	0	0
grandom_0	13	31962	154	175	172	90	273	1.016	0	0	0	0	0
grandom_1	5	60	24	12	19	26	25	0	0	0	0	0	0
grandom_2	11	4216	47	41	64	99	114	0.157	0	0	0	0	0
grandom_3	7	82	22	22	19	19	19	0	0	0	0	0	0
grandom_4	13	104619	285	888	103	136	504	3.125	0	0	0	0	0
grandom_5	12	6417	199	468	207	96	97	0.219	0	0	0	0	0
grandom_6	14	69805	678	862	648	309	1026	2.157	0	0	0.125	0	0
grandom_7	2	2	2	2	2	2	2	0	0	0	0	0	0
grandom_8	21	22360522	689	38840	2073	1165	9081	696.969	0.063	1.64	0.39	0.063	0.359
grandom_9	2	2	2	2	2	2	2	0	0	0	0	0	0
grandom_10	11	17885	91	254	92	135	79	0.547	0	0	0	0	0
grandom_11	11	7068	237	670	58	535	206	0.219	0	0	0	0	0
grandom_12	10	1883	75	33	52	169	181	0	0	0	0	0	0
grandom_13	7	377	24	38	28	26	38	0	0	0	0	0	0
grandom_14	9	1443	34	90	43	87	50	0	0	0	0	0	0
grandom_15	7	172	28	40	20	29	29	0	0	0	0	0	0
grandom_16	17	1258139	345	8926	805	172	5167	38.641	0	0.407	0.171	0	0.204
grandom_17	7	59	15	14	14	15	14	0	0	0	0	0	0
grandom_18	19	8963765	522	4242	3560	274	2425	272	0.062	0.203	0.672	0	0.093
grandom_19	5	15	7	7	7	7	7	0	0	0	0	0	0
grandom_20	3	5	4	4	4	4	4	0	0	0	0	0	0
grandom_21	4	11	6	6	6	6	6	0	0	0	0	0	0
grandom_22	14	56316	542	66	69	658	55	1.797	0	0	0	0	0
grandom_23	6	87	14	15	23	15	15	0	0	0	0	0	0
grandom_24	6	71	24	20	14	25	24	0	0	0	0	0	0
grandom_25	18	6037425	3455	9849	745	26731	15062	182.093	0.282	0.453	0.157	1.047	0.577
grandom_26	13	86577	323	417	99	272	547	2.578	0	0	0	0	0
grandom_27	18	2791458	1355	16114	3489	8211	35217	86.188	0.126	0.703	0.718	0.359	1.313
grandom_28	7	78	20	15	20	20	20	0	0	0	0	0	0
grandom_29	7	59	15	14	14	15	14	0	0	0	0	0	0
grandom_30	17	1301130	20862	51176	51844	16686	34789	41.625	1.547	2.094	9.015	0.688	1.297
grandom_31	12	25190	75	770	96	61	257	0.782	0	0	0	0	0
grandom_32	3	5	4	4	4	4	4	0	0	0	0	0	0
grandom_33	19	2737344	8914	343	42382	16742	53017	87.109	0.735	0	7.078	0.687	1.969
grandom_34	8	242	22	18	27	22	16	0	0	0	0	0	0
grandom_35	8	828	78	25	25	72	33	0	0	0	0	0	0
grandom_36	15	398268	173	1996	97	123	861	12.11	0	0.094	0	0	0
grandom_37	19	10440118	632	6962	49902	7019	4610	323.14	0.079	0.296	9.079	0.312	0.188
grandom_38	17	554023	9681	18258	9560	44315	4094	17.984	0.688	0.75	1.797	1.781	0.156
grandom_39	14	213069	466	437	3004	329	924	6.359	0	0	0.453	0	0
grandom_40	20	18113254	2479	148	5187	9835	644	552.062	0.235	0	1.015	0.422	0
grandom_41	11	5458	80	42	117	847	1157	0.188	0	0	0	0	0
grandom_42	13	35211	183	638	111	259	1343	1.125	0	0	0	0	0
grandom_43	4	8	5	5	5	5	5	0	0	0	0	0	0
grandom_44	9	3419	96	414	51	133	66	0.109	0	0	0	0	0
grandom_45	14	25974	368	1378	55	624	737	0.875	0	0	0	0	0
grandom_46	19	8521140	328	9261	170	6936	145	253.281	0	0.391	0	0.281	0
grandom_47	10	3469	546	57	50	319	63	0.125	0	0	0	0	0
grandom_48	12	42579	147	403	124	105	468	1.25	0	0	0	0	0
grandom_49	17	802605	345	23769	21742	310	6715	24.547	0	0.953	3.782	0	0.25
grandom_50	2	1	2	2	2	2	2	0	0	0	0	0	0
grandom_51	20	8306603	2215	17784	143	6730	4741	260.344	0.219	0.812	0	0.312	0.203
grandom_52	3	5	4	4	4	4	4	0	0	0	0	0	0
grandom_53	3	5	4	4	4	4	4	0	0	0	0	0	0
grandom_54	20	10057107	207	8815	9360	1585	7616	307.391	0	0.374	1.86	0.063	0.312
grandom_55	14	147249	106	3387	1322	425	505	4.359	0	0.141	0.203	0	0
grandom_56	14	86334	205	1419	150	431	436	2.594	0	0	0	0	0
grandom_57	13	51024	2279	190	575	2650	2378	1.562	0.156	0	0.094	0.109	0.079
grandom_58	21	29123107	1260	56913	870	30600	19914	894.75	0.124	2.375	0.204	1.265	0.75
grandom_59	6	102	20	13	34	19	32	0	0	0	0	0	0
grandom_60	7	348	21	21	26	22	28	0	0	0	0	0	0
